UID          PID    PPID  C STIME TTY          TIME CMD
root        1479    1055  0 13:32 ?        00:00:00 gdm-session-worker [pam/gdm-password]
madhur      1484       1  0 13:32 ?        00:00:00 /lib/systemd/systemd --user
madhur      1485    1484  0 13:32 ?        00:00:00 (sd-pam)
madhur      1491    1484  0 13:32 ?        00:00:00 /usr/bin/pipewire
madhur      1494    1484  0 13:32 ?        00:00:00 /usr/bin/wireplumber
madhur      1498    1484  0 13:32 ?        00:00:00 /usr/bin/pipewire-pulse
madhur      1499    1484  0 13:32 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
madhur      1501    1484  0 13:32 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
madhur      1513    1484  0 13:32 ?        00:00:00 /usr/libexec/xdg-document-portal
madhur      1517    1484  0 13:32 ?        00:00:00 /usr/libexec/xdg-permission-store
madhur      1519    1479  0 13:32 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
madhur      1529    1519  0 13:32 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
root        1530    1513  0 13:32 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
madhur      1612    1484  0 13:32 ?        00:00:00 /usr/libexec/gcr-ssh-agent /run/user/1000/gcr
madhur      1622    1484  0 13:32 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
madhur      1625    1484  0 13:32 ?        00:00:00 ssh-agent -D -a /run/user/1000/openssh_agent
madhur      1646    1484  0 13:32 ?        00:00:00 /usr/libexec/gvfsd
madhur      1664    1484  0 13:32 ?        00:00:00 /usr/libexec/dconf-service
madhur      1679    1484  0 13:32 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
madhur      1757    1484  0 13:32 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
madhur      1774    1484  3 13:32 ?        00:00:16 /usr/bin/gnome-shell
madhur      1775    1757  0 13:32 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
madhur      1788    1775  0 13:32 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
madhur      1808    1484  0 13:32 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
madhur      1816    1484  0 13:32 ?        00:00:00 /usr/libexec/evolution-source-registry
madhur      1830    1484  0 13:32 ?        00:00:00 /usr/libexec/goa-daemon
madhur      1833    1484  0 13:32 ?        00:00:00 /usr/libexec/evolution-calendar-factory
madhur      1843    1484  0 13:32 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
madhur      1862    1484  0 13:32 ?        00:00:00 /usr/libexec/goa-identity-service
madhur      1873    1484  0 13:32 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
madhur      1881    1484  0 13:32 ?        00:00:00 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
madhur      1885    1484  0 13:32 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
madhur      1896    1484  0 13:32 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
madhur      1908    1484  0 13:32 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
madhur      1917    1484  0 13:32 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
madhur      1947    1484  0 13:32 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
madhur      2009    1646  0 13:32 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
madhur      2037    1484  0 13:32 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
madhur      2061    1484  0 13:32 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
madhur      2062    1484  0 13:32 ?        00:00:00 /usr/libexec/gsd-a11y-settings
madhur      2063    1484  0 13:32 ?        00:00:00 /usr/libexec/gsd-color
madhur      2064    1484  0 13:32 ?        00:00:00 /usr/libexec/gsd-datetime
madhur      2065    1484  0 13:32 ?        00:00:00 /usr/libexec/gsd-housekeeping
madhur      2066    1484  0 13:32 ?        00:00:00 /usr/libexec/gsd-keyboard
madhur      2067    1881  0 13:32 ?        00:00:00 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
madhur      2069    1484  0 13:32 ?        00:00:00 /usr/libexec/gsd-media-keys
madhur      2072    1484  0 13:32 ?        00:00:00 /usr/libexec/gsd-power
madhur      2073    1484  0 13:32 ?        00:00:00 /usr/libexec/gsd-print-notifications
madhur      2074    1484  0 13:32 ?        00:00:00 /usr/libexec/gsd-rfkill
madhur      2088    1757  0 13:32 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
madhur      2089    2061  0 13:32 ?        00:00:00 /usr/bin/ibus-daemon --panel disable
madhur      2091    1484  0 13:32 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
madhur      2092    1484  0 13:32 ?        00:00:00 /usr/libexec/gsd-sharing
madhur      2093    1484  0 13:32 ?        00:00:00 /usr/libexec/gsd-smartcard
madhur      2094    1484  0 13:32 ?        00:00:00 /usr/libexec/gsd-sound
madhur      2097    1484  0 13:32 ?        00:00:00 /usr/libexec/gsd-wacom
madhur      2098    1484  0 13:32 ?        00:00:00 /usr/libexec/xdg-desktop-portal
madhur      2100    1757  0 13:32 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
madhur      2218    1484  0 13:32 ?        00:00:00 /usr/libexec/gsd-printer
madhur      2223    1484  0 13:32 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
madhur      2245    2089  0 13:32 ?        00:00:00 /usr/libexec/ibus-memconf
madhur      2246    2089  0 13:32 ?        00:00:02 /usr/libexec/ibus-extension-gtk3
madhur      2251    1484  0 13:32 ?        00:00:00 /usr/libexec/ibus-portal
madhur      2262    2089  0 13:32 ?        00:00:00 /usr/libexec/ibus-engine-simple
madhur      2271    1484  0 13:32 ?        00:00:00 /usr/libexec/gvfsd-metadata
madhur      2313    1484  0 13:32 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
madhur      2324    1484  0 13:32 ?        00:00:02 /usr/libexec/gnome-initial-setup --existing-user
madhur      2329    1484  0 13:32 ?        00:00:00 /usr/libexec/tracker-miner-fs-3
madhur      2352    1484  0 13:32 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
madhur      2457    1774  0 13:32 ?        00:00:00 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com
madhur      2495    1484  0 13:32 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
madhur      2498    1484  0 13:32 ?        00:00:01 /usr/libexec/gnome-terminal-server
madhur      2622    2498  0 13:32 pts/0    00:00:00 bash
madhur      2659    1757  0 13:33 ?        00:00:00 /usr/bin/update-notifier
root        2859       1  0 13:33 ?        00:00:01 /usr/bin/python3 /usr/sbin/aptd
madhur      2901    1774  0 13:33 ?        00:00:00 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.3PTS41 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7
madhur      2920    1484  0 13:33 ?        00:00:00 /usr/libexec/gsd-xsettings
madhur      2956    1484  0 13:33 ?        00:00:00 /usr/libexec/ibus-x11
madhur      2974    1774  0 13:33 ?        00:00:00 /usr/libexec/mutter-x11-frames
root        3381       2  0 13:40 ?        00:00:00 [kworker/u2:2-events_unbound]
root        3382       2  0 13:40 ?        00:00:00 [kworker/0:0-events]
madhur      3385    2622 99 13:41 pts/0    00:00:00 ps -ef
